emp_no,first_name,last_name,to_date,count
12070,Ger,Shokrollahi,9999-01-01,1
12076,Karlis,Siprelle,9999-01-01,1
12082,Xinan,Yamaashi,9999-01-01,2
12089,Bilhanan,Socorro,9999-01-01,2
12099,Nobuyoshi,Kuzuoka,9999-01-01,2
12112,Satyanarayana,Avouris,9999-01-01,2
12122,Satoru,Krone,9999-01-01,2
12123,Xiahua,Syrzycki,9999-01-01,2
12125,Shounak,Erman,9999-01-01,1
12149,Suebskul,Grandbois,9999-01-01,1
12159,Shem,Perly,9999-01-01,1
12165,Xiaobin,Maquelin,9999-01-01,1
12183,Harngdar,Iisaku,9999-01-01,1
12192,Feiyu,Klyachko,9999-01-01,2
12205,Sushant,Rossi,9999-01-01,1
12206,Barton,Janetzko,9999-01-01,3
12218,Yaghout,Strooper,9999-01-01,2
12221,Vincent,Melter,9999-01-01,2
12222,Abdelwaheb,Holburn,9999-01-01,2
12223,Niteen,Koyama,9999-01-01,2
12247,Subbu,Penttonen,9999-01-01,1
12249,Eldridge,Sadowski,9999-01-01,2
12256,Guadalupe,Reghbati,9999-01-01,2
12264,Mart,Pagter,9999-01-01,1
12270,Shakhar,Kornyak,9999-01-01,2
12272,Behnaam,Grandbois,9999-01-01,2
12308,Mototsugu,Cronau,9999-01-01,2
12311,Susanne,Lubachevsky,9999-01-01,1
12327,DAIDA,Bruckman,9999-01-01,2
12341,Rasiah,Luga,9999-01-01,2
12343,Sorina,Slaats,9999-01-01,2
12365,Kamakshi,Bisiani,9999-01-01,2
12373,Mooi,Driscoll,9999-01-01,1
12395,Sanjit,Felder,9999-01-01,1
12399,Mihalis,Luga,9999-01-01,2
12411,Shao,Ibel,9999-01-01,2
12413,Hugh,Gadepally,9999-01-01,2
12417,Dannz,Spelt,9999-01-01,1
12422,Berhard,Demos,9999-01-01,2
12454,Kerryn,Farris,9999-01-01,1
12464,Shai,Milicic,9999-01-01,1
12475,Filipe,Roison,9999-01-01,2
12487,Mona,Reghbati,9999-01-01,1
12489,Arnould,Munck,9999-01-01,1
12490,Jackson,Muchinsky,9999-01-01,2
12497,Stein,Penz,9999-01-01,2
12501,Morrie,Matheson,9999-01-01,1
12504,Adly,Rosaz,9999-01-01,1
12514,Tomofumi,Melter,9999-01-01,1
12528,Conor,Cincotta,9999-01-01,2
12534,Yongmao,Gerlach,9999-01-01,1
12541,Shih,Nanard,9999-01-01,2
12542,Kazuhide,Bouloucos,9999-01-01,2
12551,Jeane,Tzvieli,9999-01-01,2
12553,Aral,Vesna,9999-01-01,1
12557,Stafford,Kopetz,9999-01-01,1
12589,Anoosh,Chleq,9999-01-01,2
12596,Breannda,Roisin,9999-01-01,1
12601,Ghassan,Simkin,9999-01-01,3
12608,Nectarios,Mondadori,9999-01-01,2
12635,Xinyu,Restivo,9999-01-01,2
12638,Yuqun,Seiwald,9999-01-01,1
12642,Suebskul,Gips,9999-01-01,2
12651,Pragnesh,Bael,9999-01-01,1
12662,Leucio,Alvarado,9999-01-01,2
12663,Nobuyoshi,Stellhorn,9999-01-01,1
12664,Zhonghua,Parveen,9999-01-01,1
12689,Luerbio,Boudaillier,9999-01-01,2
12691,Oddvar,Gils,9999-01-01,2
12697,Uri,Brizzi,9999-01-01,2
12709,Ronghao,Botman,9999-01-01,2
12717,Tzu,Jiafu,9999-01-01,1
12722,Elliott,Cheshire,9999-01-01,1
12726,Fumitake,Panwar,9999-01-01,1
12729,Nahla,Rahier,9999-01-01,2
12731,Yongmao,Waymire,9999-01-01,1
12732,Mara,Takanami,9999-01-01,1
12734,Gil,Frijda,9999-01-01,1
12755,Rildo,Rodite,9999-01-01,2
12773,Jenwei,Lovengreen,9999-01-01,2
12790,Gunilla,Perl,9999-01-01,2
12795,Masoud,Fordan,9999-01-01,2
12798,Lillian,Beeson,9999-01-01,2
12803,Gad,Boissier,9999-01-01,2
12815,Sushant,Junot,9999-01-01,2
12819,Mountaz,Gubsky,9999-01-01,2
12848,Kazuhide,Smeets,9999-01-01,1
12863,Leif,Matheson,9999-01-01,2
12872,Marl,Schmittgen,9999-01-01,2
12879,Baruch,Eugenio,9999-01-01,2
12890,Neven,Casley,9999-01-01,1
12893,Licheng,Crouzet,9999-01-01,2
12895,Roddy,Serot,9999-01-01,1
12905,Munehiro,Gecsei,9999-01-01,2
12926,Heekeun,Luby,9999-01-01,2
12940,Odinaldo,Farrar,9999-01-01,2
12941,Tommaso,Perelgut,9999-01-01,2
12949,Geoff,Asrin,9999-01-01,2
12977,Byong,Markovitch,9999-01-01,2
12983,Elliott,Hambrick,9999-01-01,1
13030,Yahiko,Kroll,9999-01-01,2
13046,Vivian,Stafford,9999-01-01,1
13047,Atilio,Chelton,9999-01-01,2
13075,Rosella,Morrin,9999-01-01,2
13076,Deniz,Skafidas,9999-01-01,1
13096,Ibibia,Armand,9999-01-01,2
13103,Srinidhi,Ellozy,9999-01-01,1
13124,Quingbo,Garnick,9999-01-01,1
13133,Guther,Senzako,9999-01-01,2
13134,Lorien,Chepyzhov,9999-01-01,2
13144,Persi,Nollmann,9999-01-01,2
13146,Haldon,Erie,9999-01-01,1
13147,Shichao,Ginesta,9999-01-01,2
13156,Akeel,Millington,9999-01-01,2
13165,Lucian,Benner,9999-01-01,2
13168,Munir,Stentiford,9999-01-01,2
13170,Cheong,Bernardeschi,9999-01-01,2
13171,Anoosh,Birnbaum,9999-01-01,2
13173,Arve,Horswill,9999-01-01,2
13179,Moty,Janocha,9999-01-01,1
13182,Kokou,Rodite,9999-01-01,1
13186,Kyoichi,Barbanera,9999-01-01,2
13192,Rosita,Flowers,9999-01-01,1
13202,Aram,Scharstein,9999-01-01,2
13210,Jianhua,Klassen,9999-01-01,2
13213,Hein,Billawala,9999-01-01,2
13232,Mitchel,Fujisaki,9999-01-01,1
13233,Alselm,Chvatal,9999-01-01,2
13238,Ebru,Foote,9999-01-01,2
13240,King,Pileggi,9999-01-01,2
13250,Zeydy,Schusler,9999-01-01,3
13272,Arun,Jiang,9999-01-01,1
13276,Yechiam,Seuren,9999-01-01,2
13288,Muneo,Broomell,9999-01-01,2
13291,Georg,Stamatiou,9999-01-01,2
13302,Mack,Alencar,9999-01-01,2
13315,Sakthirel,Stroustrup,9999-01-01,2
13332,Nidapan,Pearson,9999-01-01,3
13333,Yoshinari,Hennebert,9999-01-01,2
13341,Bodh,Doering,9999-01-01,2
13343,Heon,Usery,9999-01-01,2
13368,Kiyokazu,Klassen,9999-01-01,1
13371,Nakhoon,Riexinger,9999-01-01,1
13373,Juichirou,Naumovich,9999-01-01,2
13385,Claudi,Buchter,9999-01-01,1
13386,Khosrow,Sgarro,9999-01-01,1
13389,Divine,Cmelik,9999-01-01,1
13392,Fumitake,Beidas,9999-01-01,2
13396,Chuanyi,Aumann,9999-01-01,1
13402,Augustine,Dulli,9999-01-01,1
13405,Randy,Baba,9999-01-01,1
13407,Gio,Chenoweth,9999-01-01,2
13408,Sreekrishna,Lagarias,9999-01-01,2
13415,Nathalie,Speer,9999-01-01,1
13422,Vishwani,Gerlach,9999-01-01,2
13442,Giordano,Miake,9999-01-01,2
13443,Mayuko,Puppo,9999-01-01,2
13445,Renee,Dehkordi,9999-01-01,1
13451,Gretta,Weiland,9999-01-01,2
13457,Shooichi,Parfitt,9999-01-01,2
13458,Feipei,Nivat,9999-01-01,2
13463,Theron,Berstel,9999-01-01,2
13465,Sasan,Rehfuss,9999-01-01,1
13493,Uinam,Jullig,9999-01-01,2
13504,Parto,Mandell,9999-01-01,2
13524,Chaoyi,Porotnikoff,9999-01-01,2
13535,Arunas,Schlenzig,9999-01-01,3
13546,Aimee,Brookner,9999-01-01,2
13549,Matk,Koprowski,9999-01-01,1
13552,Ingmar,Capobianchi,9999-01-01,2
13576,Jungsoon,Engberts,9999-01-01,2
13605,Dmitry,Encarnacion,9999-01-01,2
13621,Fei,Haddadi,9999-01-01,2
13624,Zhigen,Yurek,9999-01-01,2
13629,Dzung,Trelles,9999-01-01,2
13648,Zejun,Lamba,9999-01-01,1
13653,Kristen,Iivonen,9999-01-01,2
13670,Moti,Takanami,9999-01-01,1
13680,Denny,Speer,9999-01-01,1
13685,Weicheng,Hockney,9999-01-01,2
13697,Shuichi,Weedon,9999-01-01,1
13704,Vishu,Kumaresan,9999-01-01,2
13721,Sugwoo,Delgrossi,9999-01-01,2
13727,Vitali,Merey,9999-01-01,1
13738,Bangqing,Mitchem,9999-01-01,1
13766,Tremaine,Heemskerk,9999-01-01,1
13769,Yakichi,Trogemann,9999-01-01,1
13775,Arve,Maierhofer,9999-01-01,2
13786,Takushi,Berendt,9999-01-01,2
13787,Xiaobin,Sinicrope,9999-01-01,2
13792,Valery,Sury,9999-01-01,2
13796,Paloma,Thorelli,9999-01-01,1
13809,Kiyotoshi,Basagni,9999-01-01,2
13815,Guadalupe,Plotkin,9999-01-01,2
13825,Arlette,Pell,9999-01-01,1
13841,Christophe,Spinelli,9999-01-01,1
13842,Juichirou,Cichocki,9999-01-01,2
13846,Guiseppe,Welham,9999-01-01,1
13853,Mingsen,Roohalamini,9999-01-01,1
13859,Anoosh,Fujisawa,9999-01-01,2
13884,Kensei,Swift,9999-01-01,1
13894,Ult,Schonegge,9999-01-01,2
13904,Youngkon,Cairo,9999-01-01,1
13934,Shiv,Bratsberg,9999-01-01,1
13942,Elzbieta,Esteva,9999-01-01,1
13951,Mooi,Genther,9999-01-01,2
13960,Nechama,Hettesheimer,9999-01-01,1
13962,Maris,Ghelli,9999-01-01,1
13966,Boguslaw,Cooman,9999-01-01,1
13969,Jianwen,Chandrasekhar,9999-01-01,1
13990,Deborah,Schapiro,9999-01-01,2
13992,Ulises,Kenevan,9999-01-01,2
13999,Florian,Crouzet,9999-01-01,2
14005,Vojin,Stellhorn,9999-01-01,1
14015,Manibrata,Picaronny,9999-01-01,1
14034,Aloys,Seghrouchni,9999-01-01,2
14041,Shan,DeMori,9999-01-01,2
14067,Godehard,Trachtenberg,9999-01-01,2
14088,Mori,Leslie,9999-01-01,2
14107,Xiahua,Rindone,9999-01-01,2
14111,Leszek,Cummings,9999-01-01,2
14118,Kasturi,Anido,9999-01-01,1
14167,Adas,Hertweck,9999-01-01,2
14191,Jiann,Luby,9999-01-01,2
14209,Masanao,Kusakabe,9999-01-01,1
14220,Tomofumi,Pargas,9999-01-01,1
14232,Masali,Bojadziev,9999-01-01,2
14236,Xuedong,Angiulli,9999-01-01,1
14237,Abdulla,Gerlach,9999-01-01,2
14242,Sudhanshu,Benaini,9999-01-01,2
14257,Kwok,Massonet,9999-01-01,1
14290,Miyeon,Olivero,9999-01-01,1
14292,Susanna,Vigier,9999-01-01,2
14298,Chriss,Granlund,9999-01-01,2
14310,Marlo,Leuchs,9999-01-01,1
14320,Sreenivas,Schaar,9999-01-01,2
14322,Shem,Kakkad,9999-01-01,1
14323,Golgen,Leslie,9999-01-01,1
14340,Vitaly,Wixon,9999-01-01,2
14344,Otilia,Buescher,9999-01-01,1
14354,Mong,Bojadziev,9999-01-01,2
14360,Janche,Erbe,9999-01-01,1
14372,Saniya,Srimani,9999-01-01,1
14384,Tomofumi,Holburn,9999-01-01,1
14422,Toshimo,Gadepally,9999-01-01,2
14434,Elvis,Maginnis,9999-01-01,1
14439,Raimond,Woycyznski,9999-01-01,2
14460,Yagil,Lueh,9999-01-01,2
14478,Munehiro,Boissier,9999-01-01,1
14481,Moti,Lammel,9999-01-01,2
14483,Supot,Marrevee,9999-01-01,1
14486,Indrajit,Birdsall,9999-01-01,2
14498,Xiong,Selenyi,9999-01-01,2
14501,Taizo,Kroft,9999-01-01,1
14509,Danil,Aloia,9999-01-01,2
14513,Samphel,Barreiro,9999-01-01,1
14515,Kazuhisa,Versino,9999-01-01,2
14516,Kristian,Underwood,9999-01-01,1
14518,Patricia,Peir,9999-01-01,1
14522,Chuanyi,Ranta,9999-01-01,1
14537,Babette,Engelmann,9999-01-01,2
14552,Ibibia,Snyers,9999-01-01,2
14556,Fatemeh,Zultner,9999-01-01,2
14560,Elrique,Driscoll,9999-01-01,2
14581,Gao,Condotta,9999-01-01,2
14582,Kiyokazu,Morrin,9999-01-01,1
14600,Jayson,Cairo,9999-01-01,1
14603,Lech,Marquardt,9999-01-01,2
14607,Suzette,Selvestrel,9999-01-01,1
14620,Jianhua,Erev,9999-01-01,2
14621,Souichi,Wixon,9999-01-01,2
14632,Gudjon,McClurg,9999-01-01,3
14639,Arvind,Hempstead,9999-01-01,2
14640,Toshimori,Kornatzky,9999-01-01,2
14642,Florian,Kuhnemann,9999-01-01,2
14645,Laurentiu,Glinert,9999-01-01,2
14648,IEEE,Lorys,9999-01-01,2
14659,Sashi,Adachi,9999-01-01,2
14675,Teunis,Angel,9999-01-01,1
14677,Herbert,Sifakis,9999-01-01,1
14683,Alois,Basart,9999-01-01,2
14690,Yechezkel,Bellone,9999-01-01,2
14693,Brewster,Stranks,9999-01-01,2
14710,Mahmut,Hainaut,9999-01-01,1
14723,Constantino,Assaf,9999-01-01,2
14724,Aron,Lemarechal,9999-01-01,2
14780,Marlo,Bruckman,9999-01-01,1
14785,Zhonghua,Kaiser,9999-01-01,1
14793,Stein,Uchoa,9999-01-01,1
14814,Odysseas,Nishimukai,9999-01-01,2
14817,Gaurav,Masaki,9999-01-01,2
14821,Oguz,Kilgore,9999-01-01,1
14839,Changho,Cronin,9999-01-01,2
14853,Taiji,Nergos,9999-01-01,2
14877,Arto,Meriste,9999-01-01,2
14879,Anyuan,Sigstam,9999-01-01,2
14888,Temple,Barriga,9999-01-01,1
14899,Alejandro,Casley,9999-01-01,2
14906,Adil,Parveen,9999-01-01,2
14908,Kerhong,Flanders,9999-01-01,2
14909,Mohan,Kamble,9999-01-01,2
14911,Xiaobin,Chelton,9999-01-01,2
14914,Gretta,Benzaken,9999-01-01,1
14915,Huican,Picco,9999-01-01,1
14923,Shuzo,Gyorkos,9999-01-01,1
14928,Satoru,Mukaidono,9999-01-01,1
14941,Nathan,Lichtner,9999-01-01,2
14942,Heon,Benveniste,9999-01-01,2
14949,Insup,Reinhart,9999-01-01,2
14954,Fox,Magliocco,9999-01-01,1
14971,Fan,Simmen,9999-01-01,1
14983,Hyuckchul,Pouyioutas,9999-01-01,2
14993,Sanjay,Koblitz,9999-01-01,2
15005,Kiam,Sadowsky,9999-01-01,2
15016,Woody,Gulik,9999-01-01,1
15018,Ramalingam,Prenel,9999-01-01,2
15019,Qingxiang,Shokrollahi,9999-01-01,2
15029,Giordano,Koshino,9999-01-01,2
15030,Rasikan,Nourani,9999-01-01,1
15036,Ziva,Delgrande,9999-01-01,1
15049,Khun,Waymire,9999-01-01,1
15052,Flemming,Kranzdorf,9999-01-01,1
15055,Shrikanth,Sherertz,9999-01-01,2
15066,Tomokazu,Oaver,9999-01-01,2
15069,Manton,Siksek,9999-01-01,1
15071,Ayonca,Couchot,9999-01-01,2
15075,Radoslaw,Rijsenbrij,9999-01-01,2
15077,Toshiki,Taubenfeld,9999-01-01,1
15082,Guadalupe,Zirintsis,9999-01-01,1
15087,Chirstian,Ushiama,9999-01-01,2
15089,Giri,Coney,9999-01-01,2
15092,Remmert,Bahi,9999-01-01,1
15102,Luigi,Axelband,9999-01-01,2
15105,Sudhanshu,Itzigehl,9999-01-01,2
15114,Pantung,Honglei,9999-01-01,1
15134,Arun,Luiz,9999-01-01,2
15145,Haldon,Servieres,9999-01-01,2
15151,Urs,Pouyioutas,9999-01-01,2
15176,Charlene,Sankaranarayanan,9999-01-01,2
15193,Neelam,Schach,9999-01-01,1
15196,Souichi,Duclos,9999-01-01,2
15202,Pranay,Irland,9999-01-01,2
15208,Sudharsan,Shokrollahi,9999-01-01,2
15218,Shuky,Conry,9999-01-01,2
15228,Mona,Salvesen,9999-01-01,2
15230,Keiichiro,Suessmith,9999-01-01,2
15234,Jouko,Zhiwei,9999-01-01,1
15237,Reinhard,Sadowsky,9999-01-01,2
15243,Mountaz,Famili,9999-01-01,2
15248,Edwin,Baar,9999-01-01,2
15253,Ayonca,Pardalos,9999-01-01,2
15269,Eric,Reghbati,9999-01-01,2
15271,Shiv,Bernardeschi,9999-01-01,1
15292,Miyeon,Lammel,9999-01-01,2
15324,Ziya,Lunn,9999-01-01,3
15329,Fan,Openshaw,9999-01-01,1
15330,Jaroslava,Chinal,9999-01-01,2
15337,Masaru,Radivojevic,9999-01-01,2
15343,Chaosheng,Luce,9999-01-01,2
15354,Chikara,Nyrup,9999-01-01,1
15365,Mikhail,Schiettecatte,9999-01-01,2
15369,Premal,Penttonen,9999-01-01,1
15370,Chuanyi,Nilsson,9999-01-01,1
15372,Nahum,Broder,9999-01-01,2
15375,Shuho,Manders,9999-01-01,2
15377,Shugo,Aumann,9999-01-01,2
15382,Alassane,Siegrist,9999-01-01,2
15392,Pradeep,Markovitch,9999-01-01,1
15408,Maik,Penttonen,9999-01-01,1
15410,Wilmer,Kushner,9999-01-01,2
15412,Huai,Thiria,9999-01-01,2
15438,Constantijn,Munoz,9999-01-01,2
15441,Arvind,Weisert,9999-01-01,2
15452,Kazuhira,Weedman,9999-01-01,1
15454,Hongzue,Cesareni,9999-01-01,2
15470,Weiwu,Huhdanpaa,9999-01-01,1
15474,Gilbert,Plumb,9999-01-01,1
15479,Zhenbing,Soicher,9999-01-01,2
15480,Kwok,Trogemann,9999-01-01,2
15504,Kasturi,Alpin,9999-01-01,1
15505,Collette,Mikschl,9999-01-01,2
15510,Inderjeet,Sethi,9999-01-01,2
15511,George,Kowalchuk,9999-01-01,1
15518,Uno,Valtorta,9999-01-01,2
15525,Masadi,Cherinka,9999-01-01,2
15534,Guozhong,Grabner,9999-01-01,2
15543,Mingdong,Staelin,9999-01-01,1
15548,Sanjai,Caine,9999-01-01,2
15563,Constantino,Zykh,9999-01-01,2
15565,True,Muchinsky,9999-01-01,1
15566,Baoqiu,Azuma,9999-01-01,1
15600,Mack,Perna,9999-01-01,2
15601,Carrsten,Anily,9999-01-01,1
15651,Huan,Iwayama,9999-01-01,3
